,Team,League,Year,OBP,SLG,BA,Playoffs,ERA,ERA+,FIP,HR,RBIs,Ks,RC
958,KCR,AL,1975,0.333,0.394,0.261,0,3.47,111,3.52,118,667,815,719.4357119368628
957,HOU,NL,1975,0.32,0.359,0.254,0,4.04,84,3.85,84,606,839,630.6054985094402
956,DET,AL,1975,0.301,0.366,0.249,0,4.27,93,3.95,125,546,787,587.3372760480083
955,CLE,AL,1975,0.327,0.392,0.261,0,3.84,98,4.03,153,643,800,691.203575645134
954,CIN,NL,1975,0.353,0.401,0.271,1,3.37,107,3.74,124,779,663,787.5054209183673
953,CHW,AL,1975,0.331,0.358,0.255,0,3.93,100,3.87,94,604,799,648.3587936403868
952,CHC,NL,1975,0.338,0.368,0.259,0,4.49,84,3.81,95,645,850,681.2148692810457
951,CAL,AL,1975,0.322,0.328,0.246,0,3.89,91,3.69,55,572,975,567.0723618090452
950,BOS,AL,1975,0.344,0.417,0.275,1,3.98,104,3.96,134,756,720,780.9429569266589
949,BAL,AL,1975,0.326,0.373,0.252,0,3.17,112,3.64,124,635,717,662.4261645193261
948,ATL,NL,1975,0.313,0.346,0.244,0,3.91,97,3.75,107,541,669,587.6008044243339
947,TEX,AL,1976,0.321,0.341,0.25,0,3.45,104,3.52,80,574,773,605.979095214764
946,STL,NL,1976,0.323,0.359,0.26,0,3.6,99,3.7,63,584,731,637.8951559389516
945,SFG,NL,1976,0.312,0.345,0.246,0,3.53,103,3.33,85,552,746,585.0988274706867
944,SDP,NL,1976,0.31,0.337,0.247,0,3.65,90,3.69,64,528,652,560.5830630015366
943,PIT,NL,1976,0.321,0.391,0.267,0,3.36,103,3.41,110,660,762,700.8580420738778
942,PHI,NL,1976,0.338,0.395,0.272,1,3.08,115,3.1,110,708,918,736.5153212520593
941,OAK,AL,1976,0.323,0.361,0.246,0,3.26,103,3.43,113,625,711,621.034819175778
940,NYY,AL,1976,0.328,0.389,0.269,1,3.19,109,3.53,120,681,674,704.4969294605809
939,NYM,NL,1976,0.319,0.352,0.246,0,2.94,111,3.0,102,560,1025,604.3959170013387
938,MON,NL,1976,0.291,0.34,0.235,0,3.99,93,3.81,94,507,783,537.6659273161576
937,MIN,AL,1976,0.341,0.375,0.274,0,3.69,97,3.71,81,691,762,709.5146962769431
936,MIL,AL,1976,0.311,0.34,0.246,0,3.64,96,3.85,88,536,677,570.9720670391062
935,LAD,NL,1976,0.313,0.349,0.251,0,3.02,112,3.5,91,561,747,595.9355488418933
934,KCR,AL,1976,0.327,0.371,0.269,1,3.21,110,3.44,65,656,735,674.3844621513945
933,HOU,NL,1976,0.322,0.347,0.256,0,3.56,90,3.72,66,571,780,610.1624958291625
932,DET,AL,1976,0.315,0.365,0.257,0,3.87,96,3.73,101,566,738,624.3315226616874
931,CLE,AL,1976,0.321,0.359,0.263,0,3.47,100,3.25,85,567,928,627.3274486504838
930,CIN,NL,1976,0.357,0.424,0.28,1,3.51,100,3.49,141,802,790,864.0639197869341
929,CHW,AL,1976,0.314,0.349,0.255,0,4.25,85,3.62,73,538,802,604.752623688156
928,CHC,NL,1976,0.313,0.356,0.251,0,3.93,97,3.62,105,559,850,613.4697953070395
927,CAL,AL,1976,0.306,0.318,0.235,0,3.36,99,3.33,63,511,992,519.7313735428282
926,BOS,AL,1976,0.324,0.402,0.263,0,3.52,112,3.59,134,664,673,717.1725170520712
925,BAL,AL,1976,0.31,0.358,0.243,0,3.32,99,3.46,119,576,678,602.6506024096385
924,ATL,NL,1976,0.32,0.334,0.245,0,3.86,99,3.53,82,586,818,570.9352881698685
923,TOR,AL,1977,0.316,0.365,0.252,0,4.57,92,4.39,100,553,771,623.9969584319027
922,TEX,AL,1977,0.342,0.405,0.27,0,3.56,116,3.77,135,704,864,765.6485253381131
921,STL,NL,1977,0.33,0.388,0.27,0,3.81,102,4.08,96,686,768,704.6240026595744
920,SFG,NL,1977,0.323,0.383,0.253,0,3.75,105,3.73,134,624,854,679.6174773289365
919,SEA,AL,1977,0.312,0.381,0.256,0,4.83,85,4.74,133,589,785,644.8766564729867
918,SDP,NL,1977,0.324,0.375,0.249,0,4.43,80,4.46,120,652,827,676.6441005802708
917,PIT,NL,1977,0.331,0.413,0.274,0,3.61,110,3.87,133,678,890,772.1942633637549
916,PHI,NL,1977,0.346,0.448,0.279,1,3.71,109,3.8,186,795,856,861.0171596666122
915,OAK,AL,1977,0.308,0.352,0.24,0,4.04,99,4.17,117,548,788,577.6302349336057
914,NYY,AL,1977,0.344,0.444,0.281,1,3.61,109,3.99,184,784,758,855.2135874877811
913,NYM,NL,1977,0.313,0.346,0.244,0,3.77,99,3.63,88,525,911,581.8757366560027
912,MON,NL,1977,0.318,0.402,0.26,0,4.01,95,3.99,138,622,856,723.9499431171786
911,MIN,AL,1977,0.348,0.417,0.282,0,4.36,91,4.21,123,804,737,815.0354724282489
910,MIL,AL,1977,0.314,0.389,0.258,0,4.32,94,4.23,125,598,719,672.9187919463087
909,LAD,NL,1977,0.336,0.418,0.266,1,3.22,120,3.48,191,729,930,783.5829690788408
908,KCR,AL,1977,0.34,0.436,0.277,1,3.52,115,3.65,146,773,850,826.2328319162851
907,HOU,NL,1977,0.32,0.385,0.254,0,3.54,101,3.69,114,638,871,676.5260545905708
906,DET,AL,1977,0.318,0.41,0.264,0,4.13,104,4.12,166,676,784,732.4755614266843
905,CLE,AL,1977,0.334,0.38,0.269,0,4.1,97,3.94,100,631,876,696.2177017602125
904,CIN,NL,1977,0.345,0.436,0.274,0,4.21,93,4.14,181,750,868,831.1915414761594
903,CHW,AL,1977,0.344,0.444,0.278,0,4.25,97,3.96,192,809,842,859.4563953488372
902,CHC,NL,1977,0.33,0.387,0.266,0,4.01,110,3.63,111,649,942,714.2132616487455
901,CAL,AL,1977,0.324,0.386,0.255,0,3.72,105,3.92,131,636,965,673.6041666666666
900,BOS,AL,1977,0.345,0.465,0.281,0,4.11,109,3.96,213,828,758,881.4574362371646
899,BAL,AL,1977,0.329,0.393,0.261,0,3.74,102,3.92,148,677,737,710.4218698381236
898,ATL,NL,1977,0.32,0.376,0.254,0,4.85,92,4.54,139,638,915,664.6909899522319
897,TOR,AL,1978,0.308,0.359,0.25,0,4.54,86,4.21,98,551,758,598.2106158557333
896,TEX,AL,1978,0.332,0.381,0.253,0,3.36,110,3.4,132,650,776,674.451348182884
895,STL,NL,1978,0.303,0.358,0.249,0,3.58,99,3.56,79,568,859,588.5122536418166
894,SFG,NL,1978,0.318,0.374,0.248,0,3.3,105,3.16,117,576,840,638.3136194660358
893,SEA,AL,1978,0.314,0.359,0.248,0,4.67,81,4.4,97,571,630,604.0695578231292
892,SDP,NL,1978,0.321,0.348,0.252,0,3.28,101,3.25,75,542,744,596.575644504749
891,PIT,NL,1978,0.32,0.385,0.257,0,3.41,109,3.4,115,631,880,661.4576962283385
890,PHI,NL,1978,0.328,0.388,0.258,1,3.33,108,3.39,133,661,813,689.49
889,OAK,AL,1978,0.303,0.351,0.245,0,3.62,101,3.77,100,492,750,563.3023983315954
888,NYY,AL,1978,0.329,0.388,0.267,1,3.18,115,3.5,125,693,817,710.084099868594
887,NYM,NL,1978,0.314,0.352,0.245,0,3.87,90,3.69,86,561,775,600.9012036108325
886,MON,NL,1978,0.306,0.379,0.254,0,3.42,103,3.86,121,589,740,637.2595342558218
885,MIN,AL,1978,0.339,0.375,0.267,0,3.69,104,3.67,82,621,703,701.8276199804113
884,MIL,AL,1978,0.339,0.432,0.276,0,3.65,104,3.69,173,762,577,809.0323645970938
883,LAD,NL,1978,0.338,0.402,0.264,1,3.12,113,3.4,149,686,800,739.608896973706
882,KCR,AL,1978,0.329,0.399,0.268,1,3.44,111,3.71,98,695,657,720.003683858004
881,HOU,NL,1978,0.313,0.355,0.258,0,3.63,91,3.34,70,557,930,606.184317718941
880,DET,AL,1978,0.339,0.392,0.271,0,3.64,105,3.96,129,666,684,741.0803049967553
879,CLE,AL,1978,0.323,0.379,0.261,0,3.97,94,3.73,106,596,739,655.1389031266017
878,CIN,NL,1978,0.334,0.393,0.256,0,3.81,93,3.64,136,669,908,708.3078964830789
877,CHW,AL,1978,0.317,0.379,0.264,0,4.21,91,4.1,106,595,710,645.3995174077904
876,CHC,NL,1978,0.331,0.361,0.264,0,4.05,99,3.83,72,612,768,662.9358385297013
875,CAL,AL,1978,0.33,0.37,0.259,0,3.65,99,3.78,108,646,892,658.2911329229745
874,BOS,AL,1978,0.336,0.424,0.267,0,3.54,118,3.85,172,738,706,797.5076997892689
873,BAL,AL,1978,0.326,0.396,0.258,0,3.56,99,3.6,154,612,754,699.7999665215935
872,ATL,NL,1978,0.315,0.363,0.244,0,4.08,100,3.99,123,558,848,612.8330804248862
871,TOR,AL,1979,0.311,0.363,0.251,0,4.82,89,4.72,95,562,613,606.7245784363822
870,TEX,AL,1979,0.334,0.409,0.278,0,3.86,108,4.05,140,718,773,758.5472355968786
869,STL,NL,1979,0.331,0.401,0.278,0,3.72,103,3.83,100,685,788,762.3742331288344
868,SFG,NL,1979,0.319,0.365,0.246,0,4.16,85,4.06,125,616,880,628.123179916318
867,SEA,AL,1979,0.331,0.404,0.269,0,4.58,96,4.46,132,676,736,741.24442977389
866,SDP,NL,1979,0.311,0.348,0.242,0,3.69,95,3.73,93,559,779,585.9364548494983
865,PIT,NL,1979,0.33,0.416,0.272,1,3.41,114,3.68,148,710,904,775.1419270833334
864,PHI,NL,1979,0.34,0.396,0.266,0,4.16,92,3.91,119,641,787,733.9043693322342
863,OAK,AL,1979,0.302,0.346,0.239,0,4.75,85,4.53,108,541,726,558.4590051457976
862,NYY,AL,1979,0.328,0.406,0.266,0,3.83,106,3.79,150,694,731,723.8529510961214
861,NYM,NL,1979,0.313,0.35,0.25,0,3.84,95,3.96,74,558,819,610.0059123008705
860,MON,NL,1979,0.319,0.408,0.264,0,3.14,117,3.63,143,651,813,710.121587247753
859,MIN,AL,1979,0.341,0.402,0.278,0,4.13,106,3.86,112,714,721,759.7957166392092
858,MIL,AL,1979,0.345,0.448,0.28,0,4.03,104,4.22,185,766,580,856.2826622843056
857,LAD,NL,1979,0.331,0.412,0.263,0,3.83,94,3.73,183,713,811,747.227919285478
856,KCR,AL,1979,0.343,0.422,0.282,0,4.45,96,4.5,116,791,640,820.5973143504287
855,HOU,NL,1979,0.315,0.344,0.256,0,3.2,111,3.45,49,542,854,584.534756618275
854,DET,AL,1979,0.339,0.415,0.269,0,4.27,102,4.38,164,729,802,757.110756302521
853,CLE,AL,1979,0.34,0.384,0.258,0,4.57,94,4.14,138,707,781,700.3099618763467
852,CIN,NL,1979,0.338,0.396,0.264,1,3.58,105,3.64,132,686,773,733.2081759973731
851,CHW,AL,1979,0.333,0.41,0.275,0,4.1,104,4.23,127,680,675,742.281223593037
850,CHC,NL,1979,0.329,0.403,0.269,0,3.88,107,3.75,135,663,933,731.1579296615793
849,CAL,AL,1979,0.351,0.429,0.282,1,4.34,94,4.04,164,808,820,835.3503827985014
848,BOS,AL,1979,0.344,0.456,0.283,0,4.03,111,3.97,194,805,731,868.3690909090909
847,BAL,AL,1979,0.336,0.419,0.261,1,3.26,123,3.85,181,717,786,756.0210737581535
846,ATL,NL,1979,0.318,0.377,0.256,0,4.18,97,3.99,126,626,779,649.3229025710419
845,TOR,AL,1980,0.309,0.383,0.251,0,4.19,103,4.34,126,580,705,653.5680345572354
844,TEX,AL,1980,0.339,0.405,0.284,0,4.02,97,3.74,124,720,890,783.0275526742302
843,STL,NL,1980,0.328,0.4,0.275,0,3.93,95,3.71,101,688,664,737.0958904109589
842,SFG,NL,1980,0.308,0.342,0.244,0,3.46,103,3.54,80,539,811,568.5729113493279
841,SEA,AL,1980,0.308,0.356,0.248,0,4.38,94,4.37,104,564,703,602.0736771600804
840,SDP,NL,1980,0.324,0.342,0.255,0,3.65,94,3.74,67,546,728,611.6526298541701
839,PIT,NL,1980,0.322,0.388,0.266,0,3.58,103,3.57,116,626,832,689.3586865471603
838,PHI,NL,1980,0.327,0.4,0.27,1,3.43,110,3.43,117,674,889,733.3560767590618
837,OAK,AL,1980,0.322,0.385,0.259,0,3.46,108,4.09,137,635,769,680.8548575237461
836,NYY,AL,1980,0.343,0.425,0.267,1,3.58,110,3.5,189,772,845,809.4683666881859
835,NYM,NL,1980,0.319,0.345,0.257,0,3.85,92,3.88,61,554,886,603.1309583542399
834,MON,NL,1980,0.324,0.388,0.257,0,3.48,103,3.51,114,647,823,689.3602794411178
833,MIN,AL,1980,0.319,0.381,0.265,0,3.93,111,3.82,99,634,744,673.0700636942676
832,MIL,AL,1980,0.329,0.448,0.275,0,3.71,104,4.11,203,774,575,833.8801571709233
831,LAD,NL,1980,0.323,0.388,0.263,0,3.25,109,3.55,148,638,835,697.4425742574257
830,KCR,AL,1980,0.345,0.413,0.286,1,3.83,105,4.05,115,766,614,812.7679202828673
829,HOU,NL,1980,0.326,0.367,0.261,1,3.1,106,3.1,75,599,929,668.1583688175565
828,DET,AL,1980,0.348,0.409,0.273,0,4.25,97,4.28,143,767,741,803.1590656284761
827,CLE,AL,1980,0.35,0.381,0.277,0,4.68,88,4.05,89,692,843,730.9659931000493
826,CIN,NL,1980,0.327,0.386,0.262,0,3.85,94,3.68,113,668,833,697.4491987444243
825,CHW,AL,1980,0.311,0.37,0.259,0,3.92,104,3.98,91,547,724,622.2289919561869
824,CHC,NL,1980,0.309,0.365,0.251,0,3.89,101,3.71,107,578,923,634.4410509031198
823,CAL,AL,1980,0.332,0.378,0.265,0,4.52,87,4.21,106,655,725,682.1899030424607
822,BOS,AL,1980,0.34,0.436,0.283,0,4.38,97,4.02,162,717,696,829.2051661730833
821,BAL,AL,1980,0.342,0.413,0.273,0,3.64,109,3.95,156,751,789,788.6860012961763
820,ATL,NL,1980,0.307,0.38,0.25,0,3.77,99,3.98,144,597,696,628.5887594242632
819,TOR,AL,1982,0.314,0.383,0.262,0,3.95,114,4.04,106,605,776,663.5000841609157
818,TEX,AL,1982,0.308,0.359,0.249,0,4.28,91,4.01,115,558,690,597.5823150033945
817,STL,NL,1982,0.334,0.364,0.264,1,3.37,109,3.68,67,632,689,661.0
816,SFG,NL,1982,0.327,0.376,0.253,0,3.64,98,3.58,133,631,810,676.3838847035703
815,SEA,AL,1982,0.311,0.381,0.254,0,3.88,109,4.05,130,614,1002,665.817494245314
814,SDP,NL,1982,0.311,0.359,0.257,0,3.52,99,3.98,81,611,765,620.6089273817455
813,PIT,NL,1982,0.327,0.408,0.273,0,3.81,99,3.62,134,688,933,748.5230160039597
812,PHI,NL,1982,0.323,0.376,0.26,0,3.61,102,3.14,112,624,1002,660.7892617449664
811,OAK,AL,1982,0.309,0.367,0.236,0,4.54,85,4.74,149,659,697,618.9492537313433
810,NYY,AL,1982,0.328,0.398,0.256,0,3.99,100,3.49,161,666,939,721.6142903858731
809,NYM,NL,1982,0.305,0.35,0.247,0,3.88,94,3.98,97,568,759,588.1037546094535
808,MON,NL,1982,0.325,0.396,0.262,0,3.31,110,3.38,133,656,936,710.1391089108911
807,MIN,AL,1982,0.316,0.396,0.257,0,4.72,89,4.84,148,624,812,692.7372881355932
806,MIL,AL,1982,0.335,0.455,0.279,1,3.98,96,4.17,216,843,717,873.1378478365772
805,LAD,NL,1982,0.327,0.388,0.264,0,3.26,107,3.16,138,661,932,714.2309562398704
804,KCR,AL,1982,0.337,0.428,0.285,0,4.08,100,4.33,132,746,650,811.8020095536156
803,HOU,NL,1982,0.302,0.349,0.247,0,3.42,98,3.32,74,533,899,573.4794893617021
802,DET,AL,1982,0.324,0.418,0.266,0,3.8,106,4.43,177,684,740,755.4757425742574
801,CLE,AL,1982,0.341,0.373,0.262,0,4.11,101,3.84,109,639,882,704.3584541062802
800,CIN,NL,1982,0.31,0.35,0.251,0,3.66,101,3.51,82,496,998,594.5310136157337
799,CHW,AL,1982,0.337,0.413,0.273,0,3.87,105,3.58,136,747,753,774.5343811394891
798,CHC,NL,1982,0.317,0.375,0.26,0,3.92,95,3.78,102,647,764,656.0520781171757
797,CAL,AL,1982,0.347,0.433,0.274,1,3.82,106,3.9,186,760,728,830.8992676973149
796,BOS,AL,1982,0.34,0.407,0.274,0,4.03,108,4.04,136,705,816,772.0968582125997
795,BAL,AL,1982,0.341,0.419,0.266,0,3.99,102,4.09,179,735,719,794.1747698271685
794,ATL,NL,1982,0.325,0.383,0.256,1,3.82,99,3.8,146,687,813,683.4218775779574
793,TOR,AL,1983,0.338,0.436,0.277,0,4.12,105,4.06,167,748,835,820.5772451157445
792,TEX,AL,1983,0.31,0.366,0.255,0,3.31,121,3.53,106,587,826,635.3114672835426
791,STL,NL,1983,0.335,0.384,0.27,0,3.79,95,3.93,83,636,709,713.8005908419498
790,SFG,NL,1983,0.325,0.375,0.247,0,3.7,96,3.82,142,638,881,654.1563126252505
789,SEA,AL,1983,0.301,0.36,0.24,0,4.12,102,4.04,111,536,910,576.9979296066252
788,SDP,NL,1983,0.311,0.351,0.25,0,3.62,98,4.01,93,592,850,601.8152770843734
787,PIT,NL,1983,0.325,0.383,0.264,0,3.55,105,3.46,121,612,1061,687.936794956868
786,PHI,NL,1983,0.329,0.373,0.249,1,3.34,108,3.25,125,649,1092,665.3135509396637
785,OAK,AL,1983,0.326,0.381,0.262,0,4.34,89,4.33,121,662,719,686.2604304635762
784,NYY,AL,1983,0.337,0.416,0.273,0,3.86,100,3.54,153,728,892,786.0681375730045
783,NYM,NL,1983,0.3,0.344,0.241,0,3.68,99,3.95,112,542,717,557.7380952380952
782,MON,NL,1983,0.326,0.386,0.264,0,3.58,100,3.64,102,632,899,704.9831699346405
781,MIN,AL,1983,0.319,0.401,0.261,0,4.66,91,4.47,141,671,748,715.0032959789057
780,MIL,AL,1983,0.333,0.418,0.277,0,4.02,94,4.07,132,732,689,782.0766201804759
779,LAD,NL,1983,0.318,0.379,0.25,1,3.1,116,3.31,146,613,1000,654.3786992141783
778,KCR,AL,1983,0.32,0.397,0.271,0,4.25,96,4.17,109,653,593,708.98682235196
777,HOU,NL,1983,0.32,0.375,0.257,0,3.45,98,3.58,97,615,904,660.840338926732
776,DET,AL,1983,0.335,0.427,0.274,0,3.8,103,4.21,156,749,875,797.4927868852459
775,CLE,AL,1983,0.338,0.369,0.265,0,4.43,97,3.9,86,659,794,682.9666173326756
774,CIN,NL,1983,0.314,0.356,0.239,0,3.98,95,4.02,107,577,934,597.81489613241
773,CHW,AL,1983,0.329,0.413,0.262,1,3.67,114,3.69,157,762,877,740.479787057062
772,CHC,NL,1983,0.319,0.401,0.261,0,4.08,93,3.79,140,649,807,704.7930458040789
771,CAL,AL,1983,0.322,0.393,0.26,0,4.31,94,4.07,154,682,668,711.475687103594
770,BOS,AL,1983,0.335,0.409,0.27,0,4.34,101,4.2,142,691,767,765.2419196865818
769,BAL,AL,1983,0.34,0.421,0.269,1,3.63,109,3.81,168,761,774,794.3661948918171
768,ATL,NL,1983,0.341,0.4,0.272,0,3.67,106,3.88,130,691,895,748.1461843409317
767,TOR,AL,1984,0.331,0.421,0.273,0,3.86,107,3.97,143,702,875,785.0862209207744
766,TEX,AL,1984,0.313,0.377,0.261,0,3.91,106,4.06,120,618,863,655.4656870930038
765,STL,NL,1984,0.317,0.351,0.252,0,3.58,98,3.57,75,610,808,604.2519751218692
764,SFG,NL,1984,0.328,0.375,0.265,0,4.39,81,3.91,112,646,854,694.2589834898025
763,SEA,AL,1984,0.324,0.384,0.258,0,4.31,92,4.03,129,635,972,683.486232481451
762,SDP,NL,1984,0.317,0.371,0.259,1,3.48,104,3.94,109,629,812,648.5225903614457
761,PIT,NL,1984,0.31,0.363,0.255,0,3.11,117,3.36,98,586,995,622.0334728033473
760,PHI,NL,1984,0.333,0.407,0.266,0,3.62,101,3.39,147,673,904,758.9503971470255
759,OAK,AL,1984,0.327,0.404,0.259,0,4.48,83,4.52,158,697,695,725.3995020746888
758,NYY,AL,1984,0.339,0.404,0.276,0,3.78,101,3.58,130,725,992,773.7152542372881
757,NYM,NL,1984,0.32,0.369,0.257,0,3.6,98,3.53,107,607,1028,641.8659481306837
756,MON,NL,1984,0.312,0.362,0.251,0,3.31,105,3.64,96,553,861,612.1260788627517
755,MIN,AL,1984,0.318,0.385,0.265,0,3.85,109,4.25,114,636,713,681.3468911485247
754,MIL,AL,1984,0.317,0.37,0.262,0,4.06,96,3.97,96,598,785,644.0121150933871
753,LAD,NL,1984,0.306,0.348,0.244,0,3.17,111,3.09,102,530,1033,576.409716324104
752,KCR,AL,1984,0.317,0.399,0.268,1,3.92,102,3.95,117,639,724,702.0287733467945
751,HOU,NL,1984,0.323,0.371,0.264,0,3.32,100,3.35,79,640,950,667.266137040715
750,DET,AL,1984,0.342,0.432,0.271,1,3.49,113,3.74,187,788,914,831.1104707012488
749,CLE,AL,1984,0.335,0.384,0.265,0,4.26,97,4.09,123,704,803,728.2341822841582
748,CIN,NL,1984,0.313,0.356,0.244,0,4.16,91,3.83,106,578,946,616.0725593667546
747,CHW,AL,1984,0.314,0.395,0.247,0,4.13,101,4.07,172,640,840,679.1403247183565
746,CHC,NL,1984,0.331,0.397,0.26,1,3.75,104,3.41,136,703,879,712.0542971352431
745,CAL,AL,1984,0.319,0.381,0.249,0,3.96,102,4.04,150,649,754,663.6568204447394
744,BOS,AL,1984,0.341,0.441,0.283,0,4.18,99,3.89,181,767,927,849.7104749512037
743,BAL,AL,1984,0.328,0.391,0.252,0,3.71,105,4.13,160,647,714,700.3285055957867
742,ATL,NL,1984,0.317,0.361,0.247,0,3.57,108,3.8,111,578,859,620.4428643132006
741,TOR,AL,1985,0.331,0.425,0.269,1,3.31,128,3.92,158,714,823,773.7240059890202
740,TEX,AL,1985,0.322,0.381,0.253,0,4.56,93,4.2,129,578,863,654.4642675267357
739,STL,NL,1985,0.335,0.379,0.264,1,3.1,115,3.45,87,687,798,694.9017016355526
738,SFG,NL,1985,0.299,0.348,0.233,0,3.61,96,3.67,115,517,985,559.2648950575491
737,SEA,AL,1985,0.326,0.412,0.255,0,4.68,90,4.29,171,686,868,738.3441248972885
736,SDP,NL,1985,0.32,0.368,0.255,0,3.4,104,3.79,109,611,727,646.4488372093023
735,PIT,NL,1985,0.311,0.347,0.247,0,3.97,91,3.59,80,535,962,587.9828571428571
734,PHI,NL,1985,0.312,0.383,0.245,0,3.68,101,3.76,141,628,899,653.4410393071286
733,OAK,AL,1985,0.325,0.401,0.264,0,4.41,87,4.45,155,690,785,728.8477582525867
732,NYY,AL,1985,0.344,0.425,0.267,0,3.69,110,3.95,176,793,907,793.1819677525502
731,NYM,NL,1985,0.323,0.385,0.257,0,3.11,113,3.33,134,651,1039,690.7392945036916
730,MON,NL,1985,0.31,0.375,0.247,0,3.55,97,3.46,118,593,870,630.640770140179
729,MIN,AL,1985,0.326,0.407,0.264,0,4.48,98,4.14,141,678,767,728.5310264515056
728,MIL,AL,1985,0.319,0.379,0.263,0,4.39,95,4.3,101,636,777,674.3502487562189
727,LAD,NL,1985,0.328,0.382,0.261,1,2.96,115,3.24,129,632,979,686.8430723390168
726,KCR,AL,1985,0.313,0.401,0.252,1,3.49,118,3.45,154,657,846,685.5323957810145
725,HOU,NL,1985,0.319,0.388,0.261,0,3.66,95,3.67,121,666,909,691.0562799141773
724,DET,AL,1985,0.318,0.424,0.253,0,3.78,108,3.84,202,703,943,751.0009834453368
723,CLE,AL,1985,0.324,0.385,0.265,0,4.91,85,4.5,116,689,702,692.2168134241568
722,CIN,NL,1985,0.327,0.376,0.255,0,3.71,101,3.74,114,634,910,667.2688530048277
721,CHW,AL,1985,0.315,0.392,0.253,0,4.07,107,3.97,146,695,1023,670.4704595185996
720,CHC,NL,1985,0.324,0.39,0.254,0,4.16,95,4.08,150,640,820,693.1248761149653
719,CAL,AL,1985,0.333,0.386,0.251,0,3.91,107,4.27,153,685,767,693.7931034482758
718,BOS,AL,1985,0.347,0.429,0.282,0,4.06,106,3.77,162,760,913,850.769659344158
717,BAL,AL,1985,0.336,0.43,0.263,0,4.38,92,4.27,214,773,793,796.0145401078255
716,ATL,NL,1985,0.315,0.363,0.246,0,4.19,91,4.19,126,598,776,630.9379832209245
715,TOR,AL,1986,0.329,0.427,0.269,0,4.08,104,3.94,181,767,1002,799.0611719253059
714,TEX,AL,1986,0.331,0.428,0.267,0,4.11,105,4.22,184,725,1059,779.1970198675497
713,STL,NL,1986,0.309,0.327,0.236,0,3.37,108,3.97,58,550,761,542.8065926673394
712,SFG,NL,1986,0.322,0.375,0.253,0,3.33,106,3.76,114,637,992,659.5312241179394
711,SEA,AL,1986,0.326,0.399,0.253,0,4.65,91,4.32,158,681,944,708.9166392092257
710,SDP,NL,1986,0.321,0.388,0.261,0,3.99,92,4.15,136,629,934,686.7334555759293
709,PIT,NL,1986,0.321,0.374,0.25,0,3.9,99,3.99,111,618,924,654.5278008298756
708,PHI,NL,1986,0.327,0.4,0.253,0,3.85,101,3.92,154,696,874,712.9776021080369
707,OAK,AL,1986,0.322,0.39,0.252,0,4.31,90,4.43,163,683,937,681.4639278557114
706,NYY,AL,1986,0.347,0.43,0.271,0,4.11,100,4.2,188,745,878,831.9113435237329
705,NYM,NL,1986,0.339,0.401,0.263,1,3.11,115,3.31,148,730,1083,753.8046534173534
704,MON,NL,1986,0.322,0.379,0.254,0,3.78,99,3.62,110,602,1051,668.762282878412
703,MIN,AL,1986,0.325,0.428,0.261,0,4.77,90,4.43,196,700,937,764.662301061008
702,MIL,AL,1986,0.321,0.385,0.255,0,4.01,108,3.97,127,625,952,675.6659989984978
701,LAD,NL,1986,0.313,0.37,0.251,0,3.76,92,3.44,130,599,1051,629.4457892082703
700,KCR,AL,1986,0.313,0.39,0.252,0,3.82,111,3.71,137,618,888,674.2893123446562
699,HOU,NL,1986,0.322,0.381,0.255,1,3.15,114,3.34,125,613,1160,666.6561820311193
698,DET,AL,1986,0.338,0.424,0.263,0,4.02,103,4.45,198,751,880,785.3224489795919
697,CLE,AL,1986,0.337,0.43,0.284,0,4.58,90,4.61,157,775,744,826.2871062033128
696,CIN,NL,1986,0.325,0.387,0.254,0,3.91,98,3.82,144,670,924,696.5975171512578
695,CHW,AL,1986,0.31,0.363,0.247,0,3.93,111,4.05,121,605,895,606.9210928219921
694,CHC,NL,1986,0.318,0.398,0.256,0,4.49,90,3.92,155,638,962,697.6131180289663
693,CAL,AL,1986,0.338,0.404,0.255,1,3.84,107,3.87,167,743,955,740.394495412844
692,BOS,AL,1986,0.346,0.415,0.271,1,3.93,107,3.89,144,752,1033,780.1421303134745
691,BAL,AL,1986,0.327,0.395,0.258,0,4.3,97,4.21,169,669,954,712.3095120749138
690,ATL,NL,1986,0.319,0.381,0.25,0,3.97,99,3.8,138,575,932,653.1891252955082
689,TOR,AL,1987,0.336,0.446,0.269,0,3.74,121,4.04,215,790,1064,839.6329563812601
688,TEX,AL,1987,0.333,0.43,0.266,0,4.63,97,4.83,194,772,1103,798.5206328494536
687,STL,NL,1987,0.34,0.378,0.263,1,3.91,106,3.97,94,746,873,708.9083658854166
686,SFG,NL,1987,0.324,0.43,0.26,1,3.68,106,3.92,205,731,1038,775.8226834450073
685,SEA,AL,1987,0.335,0.428,0.272,0,4.49,105,4.5,161,717,919,785.2263648468709
684,SDP,NL,1987,0.332,0.378,0.26,0,4.27,93,4.54,113,621,897,682.5373777556771
683,PIT,NL,1987,0.33,0.403,0.264,0,4.2,98,4.29,131,684,914,733.9435018942513
682,PHI,NL,1987,0.327,0.41,0.254,0,4.18,102,4.45,169,662,877,732.8140877598153
681,OAK,AL,1987,0.333,0.428,0.26,0,4.32,95,4.19,199,761,1042,782.2657273918742
680,NYY,AL,1987,0.336,0.418,0.262,0,4.36,101,4.43,196,749,900,772.0189697465249
